date,rate
2024-12-27,1.785547
2024-12-28,1.785547
2024-12-29,1.785547
2024-12-30,1.775941
2024-12-31,1.78198
2025-01-01,1.78198
2025-01-02,1.773343
2025-01-03,1.768426
2025-01-04,1.768426
2025-01-05,1.768426
2025-01-06,1.76192
2025-01-07,1.756525
2025-01-08,1.769912
2025-01-09,1.769714
2025-01-10,1.768798
2025-01-11,1.768798
2025-01-12,1.768798
2025-01-13,1.773807
2025-01-14,1.767004
2025-01-15,1.768789
2025-01-16,1.767705
2025-01-17,1.771982
2025-01-18,1.771982
2025-01-19,1.771982
2025-01-20,1.76339
2025-01-21,1.765037
2025-01-22,1.757117
2025-01-23,1.757467
2025-01-24,1.748473
2025-01-25,1.748473
2025-01-26,1.748473
2025-01-27,1.766635
2025-01-28,1.768669
2025-01-29,1.772004
2025-01-30,1.76941
2025-01-31,1.767594
2025-02-01,1.767594
2025-02-02,1.767594
2025-02-03,1.774832
2025-02-04,1.769796
2025-02-05,1.764768
2025-02-06,1.763133
2025-02-07,1.754619
2025-02-08,1.754619
2025-02-09,1.754619
2025-02-10,1.750532
2025-02-11,1.743769
2025-02-12,1.747383
2025-02-13,1.761066
2025-02-14,1.748994
2025-02-15,1.748994
2025-02-16,1.748994
2025-02-17,1.74322
2025-02-18,1.747056
2025-02-19,1.740223
2025-02-20,1.738512
2025-02-21,1.74034
2025-02-22,1.74034
2025-02-23,1.74034
2025-02-24,1.745512
2025-02-25,1.761986
2025-02-26,1.769804
2025-02-27,1.768683
2025-02-28,1.782095
2025-03-01,1.782095
2025-03-02,1.782095
2025-03-03,1.783093
2025-03-04,1.805464
2025-03-05,1.789994
2025-03-06,1.781181
2025-03-07,1.805797
2025-03-08,1.805797
2025-03-09,1.805797
2025-03-10,1.803827
2025-03-11,1.806515
2025-03-12,1.798212
2025-03-13,1.802276
2025-03-14,1.787885
2025-03-15,1.787885
2025-03-16,1.787885
2025-03-17,1.784526
2025-03-18,1.78596
2025-03-19,1.79568
2025-03-20,1.802802
2025-03-21,1.805803
2025-03-22,1.805803
2025-03-23,1.805803
2025-03-24,1.804589
2025-03-25,1.795052
