date,rate
2024-12-27,1.596637
2024-12-28,1.596637
2024-12-29,1.596637
2024-12-30,1.593535
2024-12-31,1.588185
2025-01-01,1.588185
2025-01-02,1.588411
2025-01-03,1.585345
2025-01-04,1.585345
2025-01-05,1.585345
2025-01-06,1.587271
2025-01-07,1.5784
2025-01-08,1.578313
2025-01-09,1.57827
2025-01-10,1.576572
2025-01-11,1.576572
2025-01-12,1.576572
2025-01-13,1.572758
2025-01-14,1.569345
2025-01-15,1.57377
2025-01-16,1.575939
2025-01-17,1.582287
2025-01-18,1.582287
2025-01-19,1.582287
2025-01-20,1.582777
2025-01-21,1.587249
2025-01-22,1.584506
2025-01-23,1.586952
2025-01-24,1.581525
2025-01-25,1.581525
2025-01-26,1.581525
2025-01-27,1.596953
2025-01-28,1.590827
2025-01-29,1.591835
2025-01-30,1.588497
2025-01-31,1.591174
2025-02-01,1.591174
2025-02-02,1.591174
2025-02-03,1.602363
2025-02-04,1.585143
2025-02-05,1.583395
2025-02-06,1.58391
2025-02-07,1.580272
2025-02-08,1.580272
2025-02-09,1.580272
2025-02-10,1.574926
2025-02-11,1.568459
2025-02-12,1.568151
2025-02-13,1.575629
2025-02-14,1.573395
2025-02-15,1.573395
2025-02-16,1.573395
2025-02-17,1.574258
2025-02-18,1.57496
2025-02-19,1.570853
2025-02-20,1.574976
2025-02-21,1.57707
2025-02-22,1.57707
2025-02-23,1.57707
2025-02-24,1.580032
2025-02-25,1.594822
2025-02-26,1.602853
2025-02-27,1.598809
2025-02-28,1.598786
2025-03-01,1.598786
2025-03-02,1.598786
2025-03-03,1.602036
2025-03-04,1.624586
2025-03-05,1.618457
2025-03-06,1.621432
2025-03-07,1.628754
2025-03-08,1.628754
2025-03-09,1.628754
2025-03-10,1.644449
2025-03-11,1.637281
2025-03-12,1.630523
2025-03-13,1.627623
2025-03-14,1.627528
2025-03-15,1.627528
2025-03-16,1.627528
2025-03-17,1.624896
2025-03-18,1.624727
2025-03-19,1.628509
2025-03-20,1.63028
2025-03-21,1.628889
2025-03-22,1.628889
2025-03-23,1.628889
2025-03-24,1.626153
2025-03-25,1.62061
