date,rate
2024-12-27,8.106535
2024-12-28,8.106535
2024-12-29,8.106535
2024-12-30,8.079915
2024-12-31,8.057055
2025-01-01,8.057055
2025-01-02,8.039484
2025-01-03,8.050737
2025-01-04,8.050737
2025-01-05,8.050737
2025-01-06,8.118774
2025-01-07,8.07787
2025-01-08,8.040623
2025-01-09,8.040651
2025-01-10,8.022727
2025-01-11,8.022727
2025-01-12,8.022727
2025-01-13,8.000321
2025-01-14,7.994465
2025-01-15,8.038642
2025-01-16,8.032317
2025-01-17,8.034277
2025-01-18,8.034277
2025-01-19,8.034277
2025-01-20,7.999894
2025-01-21,8.002864
2025-01-22,8.031749
2025-01-23,8.031032
2025-01-24,7.993575
2025-01-25,7.993575
2025-01-26,7.993575
2025-01-27,8.072146
2025-01-28,7.998835
2025-01-29,7.994168
2025-01-30,7.990255
2025-01-31,7.975765
2025-02-01,7.975765
2025-02-02,7.975765
2025-02-03,7.931438
2025-02-04,7.976054
2025-02-05,8.067802
2025-02-06,8.045924
2025-02-07,8.030792
2025-02-08,8.030792
2025-02-09,8.030792
2025-02-10,8.024159
2025-02-11,8.000848
2025-02-12,8.014592
2025-02-13,8.047659
2025-02-14,8.064075
2025-02-15,8.064075
2025-02-16,8.064075
2025-02-17,8.057839
2025-02-18,8.069602
2025-02-19,8.056916
2025-02-20,8.04489
2025-02-21,8.060828
2025-02-22,8.060828
2025-02-23,8.060828
2025-02-24,8.059373
2025-02-25,8.120499
2025-02-26,8.105302
2025-02-27,8.092591
2025-02-28,8.067064
2025-03-01,8.067064
2025-03-02,8.067064
2025-03-03,8.091006
2025-03-04,8.175648
2025-03-05,8.164284
2025-03-06,8.180554
2025-03-07,8.220257
2025-03-08,8.220257
2025-03-09,8.220257
2025-03-10,8.275652
2025-03-11,8.214925
2025-03-12,8.19711
2025-03-13,8.194279
2025-03-14,8.175708
2025-03-15,8.175708
2025-03-16,8.175708
2025-03-17,8.201851
2025-03-18,8.218623
2025-03-19,8.221434
2025-03-20,8.205876
2025-03-21,8.220069
2025-03-22,8.220069
2025-03-23,8.220069
2025-03-24,8.226425
2025-03-25,8.236817
