date,rate
2024-12-27,1.064283
2024-12-28,1.064283
2024-12-29,1.064283
2024-12-30,1.059883
2024-12-31,1.062473
2025-01-01,1.062473
2025-01-02,1.067122
2025-01-03,1.068148
2025-01-04,1.068148
2025-01-05,1.068148
2025-01-06,1.064283
2025-01-07,1.060895
2025-01-08,1.066212
2025-01-09,1.064169
2025-01-10,1.062022
2025-01-11,1.062022
2025-01-12,1.062022
2025-01-13,1.069976
2025-01-14,1.064396
2025-01-15,1.064509
2025-01-16,1.066553
2025-01-17,1.064509
2025-01-18,1.064509
2025-01-19,1.064509
2025-01-20,1.060558
2025-01-21,1.060783
2025-01-22,1.058313
2025-01-23,1.059098
2025-01-24,1.053297
2025-01-25,1.053297
2025-01-26,1.053297
2025-01-27,1.057865
2025-01-28,1.05921
2025-01-29,1.060445
2025-01-30,1.05921
2025-01-31,1.058313
2025-02-01,1.058313
2025-02-02,1.058313
2025-02-03,1.064623
2025-02-04,1.064283
2025-02-05,1.064396
2025-02-06,1.06553
2025-02-07,1.061797
2025-02-08,1.061797
2025-02-09,1.061797
2025-02-10,1.064283
2025-02-11,1.060558
2025-02-12,1.057418
2025-02-13,1.061458
2025-02-14,1.059098
2025-02-15,1.059098
2025-02-16,1.059098
2025-02-17,1.059322
2025-02-18,1.061008
2025-02-19,1.059883
2025-02-20,1.061233
2025-02-21,1.061571
2025-02-22,1.061571
2025-02-23,1.061571
2025-02-24,1.062135
2025-02-25,1.065417
2025-02-26,1.064736
2025-02-27,1.063038
2025-02-28,1.064509
2025-03-01,1.064509
2025-03-02,1.064509
2025-03-03,1.06067
2025-03-04,1.067122
2025-03-05,1.051083
2025-03-06,1.045478
2025-03-07,1.046353
2025-03-08,1.046353
2025-03-09,1.046353
2025-03-10,1.051304
2025-03-11,1.040799
2025-03-12,1.039609
2025-03-13,1.04395
2025-03-14,1.037237
2025-03-15,1.037237
2025-03-16,1.037237
2025-03-17,1.039933
2025-03-18,1.041558
2025-03-19,1.043515
2025-03-20,1.045588
2025-03-21,1.047449
2025-03-22,1.047449
2025-03-23,1.047449
2025-03-24,1.047779
2025-03-25,1.048328
