date,rate
2024-12-27,0.884398
2024-12-28,0.884398
2024-12-29,0.884398
2024-12-30,0.879173
2024-12-31,0.880982
2025-01-01,0.880982
2025-01-02,0.88697
2025-01-03,0.886488
2025-01-04,0.886488
2025-01-05,0.886488
2025-01-06,0.884398
2025-01-07,0.879641
2025-01-08,0.889253
2025-01-09,0.891859
2025-01-10,0.888838
2025-01-11,0.888838
2025-01-12,0.888838
2025-01-13,0.900492
2025-01-14,0.897158
2025-01-15,0.89752
2025-01-16,0.898656
2025-01-17,0.89901
2025-01-18,0.89901
2025-01-19,0.89901
2025-01-20,0.897105
2025-01-21,0.896924
2025-01-22,0.893915
2025-01-23,0.894599
2025-01-24,0.889119
2025-01-25,0.889119
2025-01-26,0.889119
2025-01-27,0.889728
2025-01-28,0.888338
2025-01-29,0.887837
2025-01-30,0.8864
2025-01-31,0.884834
2025-02-01,0.884834
2025-02-02,0.884834
2025-02-03,0.885085
2025-02-04,0.885355
2025-02-05,0.884353
2025-02-06,0.891721
2025-02-07,0.885039
2025-02-08,0.885039
2025-02-09,0.885039
2025-02-10,0.886367
2025-02-11,0.884028
2025-02-12,0.881231
2025-02-13,0.884333
2025-02-14,0.881328
2025-02-15,0.881328
2025-02-16,0.881328
2025-02-17,0.880646
2025-02-18,0.880902
2025-02-19,0.877986
2025-02-20,0.878945
2025-02-21,0.878556
2025-02-22,0.878556
2025-02-23,0.878556
2025-02-24,0.879766
2025-02-25,0.883316
2025-02-26,0.882325
2025-02-27,0.878846
2025-02-28,0.87937
2025-03-01,0.87937
2025-03-02,0.87937
2025-03-03,0.875371
2025-03-04,0.883449
2025-03-05,0.877654
2025-03-06,0.876006
2025-03-07,0.879858
2025-03-08,0.879858
2025-03-09,0.879858
2025-03-10,0.881508
2025-03-11,0.878164
2025-03-12,0.874083
2025-03-13,0.874601
2025-03-14,0.873177
2025-03-15,0.873177
2025-03-16,0.873177
2025-03-17,0.873814
2025-03-18,0.876711
2025-03-19,0.877366
2025-03-20,0.875052
2025-03-21,0.877396
2025-03-22,0.877396
2025-03-23,0.877396
2025-03-24,0.876603
2025-03-25,0.876035
