date,rate
2024-12-27,94.944657
2024-12-28,94.944657
2024-12-29,94.944657
2024-12-30,94.614202
2024-12-31,94.489482
2025-01-01,94.489482
2025-01-02,94.447764
2025-01-03,94.353236
2025-01-04,94.353236
2025-01-05,94.353236
2025-01-06,94.998404
2025-01-07,94.538511
2025-01-08,94.201941
2025-01-09,94.151325
2025-01-10,94.123301
2025-01-11,94.123301
2025-01-12,94.123301
2025-01-13,94.603574
2025-01-14,94.403938
2025-01-15,94.75676
2025-01-16,94.862415
2025-01-17,94.952097
2025-01-18,94.952097
2025-01-19,94.952097
2025-01-20,94.679712
2025-01-21,95.137371
2025-01-22,95.469362
2025-01-23,95.243063
2025-01-24,95.144302
2025-01-25,95.144302
2025-01-26,95.144302
2025-01-27,96.138792
2025-01-28,95.53596
2025-01-29,95.434252
2025-01-30,95.431628
2025-01-31,95.242354
2025-02-01,95.242354
2025-02-02,95.242354
2025-02-03,95.231875
2025-02-04,95.797148
2025-02-05,96.923363
2025-02-06,96.707512
2025-02-07,96.425462
2025-02-08,96.425462
2025-02-09,96.425462
2025-02-10,96.077054
2025-02-11,94.970835
2025-02-12,95.2744
2025-02-13,95.931536
2025-02-14,96.176657
2025-02-15,96.176657
2025-02-16,96.176657
2025-02-17,96.389831
2025-02-18,96.392573
2025-02-19,96.069952
2025-02-20,95.963069
2025-02-21,96.241826
2025-02-22,96.241826
2025-02-23,96.241826
2025-02-24,96.406054
2025-02-25,97.506712
2025-02-26,97.263096
2025-02-27,97.067078
2025-02-28,96.839472
2025-03-01,96.839472
2025-03-02,96.839472
2025-03-03,96.895418
2025-03-04,98.16487
2025-03-05,97.842443
2025-03-06,98.283325
2025-03-07,98.821283
2025-03-08,98.821283
2025-03-09,98.821283
2025-03-10,99.551934
2025-03-11,99.027373
2025-03-12,98.687494
2025-03-13,98.413196
2025-03-14,98.19054
2025-03-15,98.19054
2025-03-16,98.19054
2025-03-17,98.409942
2025-03-18,98.431934
2025-03-19,98.153501
2025-03-20,97.815767
2025-03-21,97.559443
2025-03-22,97.559443
2025-03-23,97.559443
2025-03-24,97.04474
2025-03-25,97.256316
