date,rate
2024-12-27,175.234142
2024-12-28,175.234142
2024-12-29,175.234142
2024-12-30,174.425013
2024-12-31,173.246919
2025-01-01,173.246919
2025-01-02,172.916444
2025-01-03,172.794275
2025-01-04,172.794275
2025-01-05,172.794275
2025-01-06,173.744146
2025-01-07,173.83832
2025-01-08,173.728542
2025-01-09,172.99138
2025-01-10,172.960918
2025-01-11,172.960918
2025-01-12,172.960918
2025-01-13,171.431629
2025-01-14,172.038318
2025-01-15,172.184373
2025-01-16,171.139078
2025-01-17,170.566319
2025-01-18,170.566319
2025-01-19,170.566319
2025-01-20,171.131615
2025-01-21,171.061844
2025-01-22,172.208699
2025-01-23,172.188096
2025-01-24,172.635349
2025-01-25,172.635349
2025-01-26,172.635349
2025-01-27,171.596319
2025-01-28,171.443703
2025-01-29,171.26193
2025-01-30,169.81252
2025-01-31,170.377818
2025-02-01,170.377818
2025-02-02,170.377818
2025-02-03,169.136591
2025-02-04,170.838655
2025-02-05,169.505056
2025-02-06,168.300479
2025-02-07,167.519643
2025-02-08,167.519643
2025-02-09,167.519643
2025-02-10,167.007237
2025-02-11,166.804539
2025-02-12,168.36206
2025-02-13,169.610445
2025-02-14,169.550943
2025-02-15,169.550943
2025-02-16,169.550943
2025-02-17,168.082627
2025-02-18,168.222812
2025-02-19,167.896131
2025-02-20,166.189112
2025-02-21,167.154989
2025-02-22,167.154989
2025-02-23,167.154989
2025-02-24,166.553372
2025-02-25,167.472832
2025-02-26,166.844123
2025-02-27,166.609971
2025-02-28,167.085374
2025-03-01,167.085374
2025-03-02,167.085374
2025-03-03,167.935936
2025-03-04,167.004589
2025-03-05,168.267816
2025-03-06,166.481965
2025-03-07,167.782777
2025-03-08,167.782777
2025-03-09,167.782777
2025-03-10,167.567283
2025-03-11,168.109908
2025-03-12,168.655785
2025-03-13,167.700177
2025-03-14,167.907893
2025-03-15,167.907893
2025-03-16,167.907893
2025-03-17,168.739601
2025-03-18,170.294761
2025-03-19,170.374622
2025-03-20,168.182769
2025-03-21,168.628889
2025-03-22,168.628889
2025-03-23,168.628889
2025-03-24,169.897318
2025-03-25,170.164587
