date,rate
2024-12-27,1.110579
2024-12-28,1.110579
2024-12-29,1.110579
2024-12-30,1.106942
2024-12-31,1.103804
2025-01-01,1.103804
2025-01-02,1.101377
2025-01-03,1.100085
2025-01-04,1.100085
2025-01-05,1.100085
2025-01-06,1.109621
2025-01-07,1.102589
2025-01-08,1.096705
2025-01-09,1.096627
2025-01-10,1.094308
2025-01-11,1.094308
2025-01-12,1.094308
2025-01-13,1.091162
2025-01-14,1.090474
2025-01-15,1.096445
2025-01-16,1.095563
2025-01-17,1.096232
2025-01-18,1.096232
2025-01-19,1.096232
2025-01-20,1.094071
2025-01-21,1.098653
2025-01-22,1.105196
2025-01-23,1.101885
2025-01-24,1.103012
2025-01-25,1.103012
2025-01-26,1.103012
2025-01-27,1.113932
2025-01-28,1.103803
2025-01-29,1.102439
2025-01-30,1.101896
2025-01-31,1.099905
2025-02-01,1.099905
2025-02-02,1.099905
2025-02-03,1.093793
2025-02-04,1.099936
2025-02-05,1.109313
2025-02-06,1.103889
2025-02-07,1.101826
2025-02-08,1.101826
2025-02-09,1.101826
2025-02-10,1.09834
2025-02-11,1.09492
2025-02-12,1.096542
2025-02-13,1.102855
2025-02-14,1.109723
2025-02-15,1.109723
2025-02-16,1.109723
2025-02-17,1.109428
2025-02-18,1.108435
2025-02-19,1.105882
2025-02-20,1.108246
2025-02-21,1.110934
2025-02-22,1.110934
2025-02-23,1.110934
2025-02-24,1.11163
2025-02-25,1.118368
2025-02-26,1.116589
2025-02-27,1.113745
2025-02-28,1.108261
2025-03-01,1.108261
2025-03-02,1.108261
2025-03-03,1.109992
2025-03-04,1.126561
2025-03-05,1.124028
2025-03-06,1.128698
2025-03-07,1.136026
2025-03-08,1.136026
2025-03-09,1.136026
2025-03-10,1.140139
2025-03-11,1.13572
2025-03-12,1.131718
2025-03-13,1.130598
2025-03-14,1.129447
2025-03-15,1.129447
2025-03-16,1.129447
2025-03-17,1.133839
2025-03-18,1.137173
2025-03-19,1.137118
2025-03-20,1.132685
2025-03-21,1.134074
2025-03-22,1.134074
2025-03-23,1.134074
2025-03-24,1.134116
2025-03-25,1.134815
